"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Resurvey.Burned.fi","P.Resurvey.Unburned.fi","P.Elevation.m.Res.Burn.fi","P.Elevation.m.Res.Unburn.fi","P.Elevation.m2.Res.Burn.fi","P.Elevation.m2.Res.Unburn.fi"
"CARU",59,33,19,"Yes","Global_unavg",0.0795385779087714,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.710289077822843,-1.50341063257031,12.8315383186532,-0.780642832488109,7.32464849590913,-34.1398415604886,1.42756005911504e-28,0.0234860878351522,0.0610342049546094,0.190808085992864,0.0193535999105458,0.365716958488189,0.964317737055852,0.600188763808005,0.0845775894637555
"CEVE",59,26,19,"Yes","Global_unavg",0.126378567284567,-2.8463681881368,-17.3187334830163,-18.8379878475594,1.64436854675125,-0.902501097740483,7.54267654835995,16.3759821930119,-24.2180622172858,-4.05687459623841,6.81045494175576e-25,0.0529415145912758,0.0277241389573843,0.00390361176253729,0.0768418836621632,0.663254087779859,0.284761661009725,0.234929597800808,0.804839129569977
"EPAN",59,18,23,"Yes","Global_unavg",0.135995946162274,-3.27081353062762,-1.48934084073624,-25.4282138865056,2.5272773217616,-0.483243015733097,-9.7831628925625,-12.8229832612623,7.06701514131879,-4.71884075322714,2.32207809980946e-23,0.874926886211093,0.0184441783337351,6.13967179420779e-07,0.407368804028577,0.497924269082282,0.453015548324056,0.650502376227241,0.801879021045816
"PAMY",59,127,106,"Yes","Global_unavg",0.052187288730237,-0.704733383418325,-10.7565459077929,-11.1839878274356,0.536321486153249,-0.364359255992675,0.357325258045686,-2.3155213244766,-12.8551680386842,0.964731597716139,1.36431722698467e-09,0.00202000752434978,0.00143191711834115,0.169473649834688,0.0411741717641378,0.973288535432808,0.670833509702273,0.266481923566885,0.858823289567547
"VAME",59,95,110,"Yes","Global_unavg",0.103901215875086,-1.26988171671965,11.8819909237238,-23.3479371486907,-1.98957891962866,0.308855664300304,55.0938100092479,-5.86107926078875,NA,NA,1.19990774663909e-20,0.00429079828656231,3.03451434122229e-13,0.0718826360002506,0.0849727729819344,0.0206295395466591,0.310873038808375,NA,NA
"ACMI",6,10,19,"Yes","Global_unavg",0.14512483330279,-3.79745936398687,-17.9955825669522,-12.3361521890759,2.7195544130912,-0.0784758815382269,14.8640909541631,40.2257410281859,17.4449467522195,12.610349422916,8.34673697743401e-20,0.188848414917003,0.313261867879328,3.02588043041834e-06,0.898203569670706,0.354438150950204,0.0292324287738735,0.242155627087964,0.428183097128859
"ARUV",6,42,27,"Yes","Global_unavg",0.0565462465115033,-2.28040959202362,-21.5962761760837,-8.93718378183513,0.638685690920853,-0.504383527242308,9.55262433861943,20.7636755203568,3.48093362547581,-3.20283065461753,5.07252544068381e-27,0.00192279766269446,0.131171399024459,0.223425775078201,0.122161832932609,0.502827501041234,0.0419439337388344,0.795180216031955,0.745915351955672
"CARU",6,33,19,"Yes","Global_unavg",0.0788296013216041,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.67995855826411,-1.3405534231423,26.039387618479,0.981208947762564,-2.81529480932092,-28.1486992464224,1.42756004345872e-28,0.0234860878202897,0.0610342049335165,0.228525587189707,0.0220830733983765,0.104059805643443,0.952566575304007,0.859212031325587,0.123285024003988
"CEVE",6,26,22,"Yes","Global_unavg",0.117606707383201,-2.8463681881368,-17.3187334830163,-18.8379878475593,1.52097789343641,-0.595728831970265,9.36799580542019,15.9475406957486,-33.4293289096236,-2.42664940982131,6.81045494175387e-25,0.0529415145912763,0.0277241389573845,0.014907731178944,0.19300767367717,0.605258703766527,0.253134814111666,0.152400933448469,0.868869990828857
"EPAN",6,18,26,"Yes","Global_unavg",0.0975983288614782,-3.27081353062761,-1.48934084073629,-25.4282138865056,2.46227485537298,0.164898617542737,-5.87257480813927,3.51848881814539,20.8889223693665,16.5554857971256,2.3220780998088e-23,0.874926886211089,0.0184441783337345,8.92372054468071e-07,0.702738020363973,0.651913192489818,0.779853630818696,0.137630096681534,0.231959877559138
